,image_path,top1_class,top5_class
0,Cro_v05_gun_ILSVRC2012_val_00016796_cs.jpg,hook,"['hook', 'platypus', 'slug', 'rule', 'nail']"
1,Cro_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,hook,"['hook', 'hammer', 'nail', 'chambered nautilus', 'spotlight']"
2,Cro_v05_dog_ILSVRC2012_val_00030058_cs.jpg,bell cote,"['bell cote', 'hen-of-the-woods', 'chime', 'earthstar', 'cloak']"
3,Cro_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,hen-of-the-woods,"['hen-of-the-woods', 'window screen', 'wool', 'shopping basket', 'crash helmet']"
4,Cro_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,slug,"['slug', 'hair slide', 'night snake', 'banded gecko', 'aircraft carrier']"
5,Cro_v05_snail_ILSVRC2012_val_00023958_cs.jpg,slug,"['slug', 'snail', 'chambered nautilus', 'sea slug', 'triceratops']"
6,Cro_v05_flower_ILSVRC2012_val_00048934_cs.jpg,crossword puzzle,"['crossword puzzle', 'packet', 'hen-of-the-woods', 'wool', 'sunscreen']"
7,Cro_v05_chair_ILSVRC2012_val_00001953_cs.jpg,oboe,"['oboe', 'whistle', 'hook', 'hammer', 'bassoon']"
8,Cro_v05_banana_ILSVRC2012_val_00049606_cs.jpg,necklace,"['necklace', 'hook', 'nematode', 'stole', 'toilet seat']"
9,Cro_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,packet,"['packet', 'swing', 'breastplate', 'hen-of-the-woods', 'bucket']"
10,Cro_v05_horse_ILSVRC2012_val_00017358_cs.jpg,carousel,"['carousel', 'earthstar', 'triceratops', 'frilled lizard', 'Japanese spaniel']"
11,Cro_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,hyena,"['hyena', 'cheetah', 'lynx', 'snow leopard', 'jaguar']"
12,Cro_v05_mug_ILSVRC2012_val_00027194_cs.jpg,coffee mug,"['coffee mug', 'cup', 'pitcher', 'plastic bag', 'sandbar']"
13,Cro_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,hyena,"['hyena', 'cheetah', 'giant panda', 'coyote', 'American black bear']"
14,Cro_v05_fish_ILSVRC2012_val_00032417_cs.jpg,gasmask,"['gasmask', 'binder', 'spatula', 'mask', 'hair slide']"
15,Cro_v05_camel_ILSVRC2012_val_00015872_cs.jpg,Egyptian cat,"['Egyptian cat', 'tiger cat', 'tabby', 'cheetah', 'lynx']"
16,Cro_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,hair slide,"['hair slide', 'hen-of-the-woods', 'slug', 'nematode', 'sea cucumber']"
17,Cro_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,hook,"['hook', 'ladle', 'whistle', 'ant', 'barn spider']"
18,Cro_v05_dog_ILSVRC2012_val_00028881_cs.jpg,Irish water spaniel,"['Irish water spaniel', 'komondor', 'groenendael', 'Newfoundland', 'French bulldog']"
19,Cro_v05_snail_ILSVRC2012_val_00046248_cs.jpg,snail,"['snail', 'chambered nautilus', 'electric ray', 'tailed frog', 'triceratops']"
20,Cro_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,hook,"['hook', 'hair slide', 'revolver', 'rifle', 'carton']"
21,Cro_v05_swine_ILSVRC2012_val_00011892_cs.jpg,coral reef,"['coral reef', 'hen-of-the-woods', 'papillon', 'window screen', 'crossword puzzle']"
22,Cro_v05_dog_ILSVRC2012_val_00012566_cs.jpg,kuvasz,"['kuvasz', 'Sussex spaniel', 'flat-coated retriever', 'Newfoundland', 'nipple']"
23,Cro_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,sea cucumber,"['sea cucumber', 'sea slug', 'nematode', 'slug', 'banded gecko']"
24,Cro_v05_snake_ILSVRC2012_val_00014926_cs.jpg,hook,"['hook', 'nematode', 'sea snake', 'corkscrew', 'safety pin']"
25,Cro_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,hare,"['hare', 'wood rabbit', 'Windsor tie', 'bolo tie', 'partridge']"
26,Cro_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,necklace,"['necklace', 'hair slide', 'hook', 'chain', 'nematode']"
27,Cro_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,wood rabbit,"['wood rabbit', 'Angora', 'hare', 'crossword puzzle', 'skunk']"
28,Cro_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,hen-of-the-woods,"['hen-of-the-woods', 'packet', 'isopod', 'honeycomb', 'whistle']"
29,Cro_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,tailed frog,"['tailed frog', 'banded gecko', 'bullfrog', 'common newt', 'tree frog']"
30,Cro_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,hen-of-the-woods,"['hen-of-the-woods', 'wool', 'window screen', 'shower cap', 'strainer']"
31,Cro_v05_spider_ILSVRC2012_val_00039661_cs.jpg,starfish,"['starfish', 'matchstick', 'abacus', 'bath towel', 'red wine']"
32,Cro_v05_horse_ILSVRC2012_val_00011600_cs.jpg,chime,"['chime', 'whistle', 'swing', 'tripod', 'bolo tie']"
33,Cro_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,hen-of-the-woods,"['hen-of-the-woods', 'custard apple', 'mask', 'castle', 'isopod']"
34,Cro_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,hen-of-the-woods,"['hen-of-the-woods', 'isopod', 'earthstar', 'tailed frog', 'platypus']"
35,Cro_v05_lemon_ILSVRC2012_val_00038325_cs.jpg,hen-of-the-woods,"['hen-of-the-woods', 'brain coral', 'shield', 'honeycomb', 'gasmask']"
36,Cro_v05_bear_ILSVRC2012_val_00011967_cs.jpg,hyena,"['hyena', 'sloth bear', 'American black bear', 'giant panda', 'brown bear']"
37,Cro_v05_car_ILSVRC2012_val_00005456_cs.jpg,hen-of-the-woods,"['hen-of-the-woods', 'sunglass', 'crash helmet', 'isopod', 'breastplate']"
38,Cro_v05_hammer_ILSVRC2012_val_00032002_cs.jpg,hook,"['hook', 'oscilloscope', 'joystick', 'ballpoint', 'syringe']"
39,Cro_v05_lobster_ILSVRC2012_val_00028657_cs.jpg,hen-of-the-woods,"['hen-of-the-woods', 'velvet', 'isopod', 'cicada', 'quill']"
40,Cro_v05_butterfly_ILSVRC2012_val_00035074_cs.jpg,hen-of-the-woods,"['hen-of-the-woods', 'stinkhorn', 'mushroom', 'chambered nautilus', 'coral reef']"
41,Cro_v05_fish_ILSVRC2012_val_00047320_cs.jpg,can opener,"['can opener', 'hook', 'hair slide', 'corkscrew', 'letter opener']"
