n02360282,chipmunk
n02356977,black_squirrel
n02356381,eastern_grey_squirrel
n02356381,eastern_gray_squirrel
n02356381,cat_squirrel
n02356381,Sciurus_carolinensis
n02358584,suslik
n02358584,souslik
n02358584,Citellus_citellus
n02355227,squirrel
n02358712,flickertail
n02358712,Richardson_ground_squirrel
n02358712,Citellus_richardsoni
n02359047,Arctic_ground_squirrel
n02359047,parka_squirrel
n02359047,Citellus_parryi
n02357401,American_red_squirrel
n02357401,spruce_squirrel
n02357401,red_squirrel
n02357401,Sciurus_hudsonicus
n02357401,Tamiasciurus_hudsonicus
n02356798,fox_squirrel
n02356798,eastern_fox_squirrel
n02356798,Sciurus_niger
n02362194,Asiatic_flying_squirrel
n02355477,tree_squirrel
n02358890,rock_squirrel
n02358890,Citellus_variegatus
n02362569,taguan
n02362569,flying_marmot
n02362569,flying_cat
n02362569,Petaurista_petaurista
n02360781,American_flying_squirrel
n02361090,northern_flying_squirrel
n02361090,Glaucomys_sabrinus
n02360933,southern_flying_squirrel
n02360933,Glaucomys_volans
n02359915,eastern_chipmunk
n02359915,hackee
n02359915,striped_squirrel
n02359915,ground_squirrel
n02359915,Tamias_striatus
n02356612,western_grey_squirrel
n02356612,western_gray_squirrel
n02356612,Sciurus_griseus
n02357911,antelope_squirrel
n02357911,whitetail_antelope_squirrel
n02357911,antelope_chipmunk
n02357911,Citellus_leucurus
n02357111,red_squirrel
n02357111,cat_squirrel
n02357111,Sciurus_vulgaris
n02358091,ground_squirrel
n02358091,gopher
n02358091,spermophile
n02357585,chickeree
n02357585,Douglas_squirrel
n02357585,Tamiasciurus_douglasi
n02358390,mantled_ground_squirrel
n02358390,Citellus_lateralis
n02360480,baronduki
n02360480,baranduki
n02360480,barunduki
n02360480,burunduki
n02360480,Eutamius_asiaticus
n02360480,Eutamius_sibiricus
